coffee_type,rating,weight_formatted_to_gramms
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
classic roast,4.7,1360.8
classic roast,4.2,864.7
"espresso,dark roast",4.7,283.5
"black rifle coffee,dark roast",3.0,340.2
"medium roast,black rifle coffee",3.7,300.5
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"light roast,black rifle coffee",3.8,340.2
"black rifle coffee,dark roast",4.3,340.2
"medium roast,black rifle coffee",3.7,340.2
medium roast,4.7,850.5
"colombian,medium roast",4.7,694.6
medium roast,4.8,850.5
medium roast,4.8,340.2
colombian,4.8,1048.9
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
"arabica,medium roast",4.5,340.2
black silk ground coffee,4.7,1048.9
medium roast,4.4,340.2
"french,medium roast",4.3,340.2
"french,french roast,arabica",4.6,686.1
"instant coffee,classic roast",4.6,226.8
french,4.7,340.2
medium roast,4.8,850.5
medium roast,4.5,734.3
"colombian,medium roast",4.7,850.5
medium roast,4.6,864.7
"black silk ground coffee,dark roast",4.6,686.1
"medium roast,classic roast",4.7,680.4
"french,arabica,medium roast",4.4,340.2
dark roast,4.6,717.2
"instant coffee,medium roast",4.5,340.2
"medium roast,classic roast",4.6,864.7
"colombian,medium-dark roast,dark roast",4.1,686.1
"medium roast,classic roast",4.5,320.3
gourmet coffee,4.8,340.2
"french,french roast",4.7,725.7
medium roast,4.3,340.2
medium roast,4.8,720.1
"medium roast,classic roast",4.9,1360.8
"colombian,arabica,medium dark",4.4,320.3
arabica,4.6,864.7
"colombian,arabica,medium dark",4.6,686.1
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
"french,arabica,medium roast",4.4,340.2
dark roast,4.6,717.2
medium roast,4.5,793.8
"instant coffee,medium roast",4.5,340.2
"arabica,medium roast",4.5,907.2
"caramel flavored,caramel",4.5,311.8
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"espresso,dark roast",4.8,1020.6
"caramel,arabica,medium roast",4.5,340.2
"espresso,dark roast",4.7,283.5
caramel,4.3,311.8
medium roast,4.8,864.7
medium roast,4.7,311.8
medium roast,4.5,340.2
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
medium roast,4.8,1020.6
"french,french roast,arabica,medium roast",4.8,907.2
dark roast,4.7,567.0
"arabica,medium roast",4.4,340.2
"arabica,medium roast",4.4,1360.8
medium roast,4.5,340.2
"cappuccino,medium roast",4.6,311.8
light roast,4.6,311.8
medium roast,4.8,850.5
medium roast,4.5,734.3
mocha,4.4,311.8
"french,medium roast",4.6,311.8
medium roast,4.6,340.2
"arabica,medium roast",4.6,567.0
dark roast,4.7,340.2
"french,arabica,medium roast",4.5,1360.8
medium roast,4.7,340.2
"medium roast,classic roast",4.7,1701.0
"colombian,arabica,medium-dark roast,dark roast",4.5,907.2
"french,french roast,dark roast",4.7,793.8
medium roast,4.3,340.2
medium roast,4.8,720.1
medium roast,4.6,878.8
french,4.3,326.0
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
medium roast,4.7,680.4
"arabica,medium roast",4.5,623.7
"arabica,medium roast",4.2,340.2
"medium roast,classic roast",4.7,1360.8
medium roast,4.8,850.5
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
medium roast,4.5,680.4
medium roast,4.7,340.2
light roast,4.7,680.4
dark roast,4.7,680.4
"arabica,medium roast",4.7,340.2
medium roast,4.4,340.2
light roast,4.7,759.8
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
medium roast,4.7,340.2
dark roast,4.5,340.2
medium roast,4.6,283.5
dark roast,4.1,311.8
"french,french roast",4.7,340.2
"arabica,medium roast",4.3,340.2
medium roast,4.8,850.5
medium roast,4.5,734.3
dark roast,4.7,340.2
"espresso,dark roast",4.8,340.2
blonde roast,4.6,793.8
"medium-dark roast,dark roast",4.5,340.2
blonde roast,4.6,340.2
medium roast,4.7,340.2
medium roast,4.7,311.8
medium roast,4.9,907.2
"caramel,light roast",4.5,1360.8
medium roast,4.3,680.4
medium roast,4.9,907.2
dark roast,4.8,340.2
medium roast,4.6,793.8
"colombian,medium roast",4.7,935.5
light roast,4.8,340.2
medium roast,4.4,864.7
"colombian,medium roast",4.6,340.2
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
medium roast,4.3,680.4
dark roast,4.8,567.0
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
medium roast,4.9,907.2
light roast,4.6,680.4
medium roast,4.7,510.3
medium roast,4.5,680.4
"arabica,medium roast",4.8,929.9
medium roast,4.7,680.4
"arabica,medium roast",4.6,623.7
classic roast,3.8,1142.5
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
"colombian,arabica,medium dark,medium dark roast,dark roast",4.6,340.2
"arabica,medium roast",4.6,340.2
"french,arabica,dark roast",4.6,340.2
"medium roast,classic roast",4.4,734.3
medium roast,4.7,830.6
"arabica,medium roast",4.6,623.7
medium roast,4.8,850.5
medium roast,4.5,734.3
medium roast,4.9,864.7
medium roast,4.7,340.2
medium roast,4.4,680.4
"espresso,caramel,macchiato,iced coffee",4.5,1134.0
"espresso,iced coffee,latte",3.5,1134.0
"mocha,iced coffee",4.6,269.3
"espresso,dark roast",4.7,680.4
"blonde roast,arabica",4.6,623.7
"french,medium-dark roast,dark roast",4.8,340.2
instant coffee,4.5,340.2
"caramel flavored,caramel",4.4,623.7
"mocha,iced coffee",4.7,388.4
"colombian,medium roast",4.7,311.8
medium roast,4.8,340.2
iced coffee,4.2,1360.8
"arabica,medium roast",4.7,1360.8
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
medium roast,4.6,680.4
dark roast,4.7,510.3
medium roast,4.5,734.3
medium roast,4.6,1587.6
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"colombian,medium roast",4.3,680.4
medium roast,4.7,1701.0
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
dark roast,4.6,680.4
light roast,4.6,1360.8
medium roast,4.6,680.4
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
caramel,4.6,680.4
medium roast,4.5,1247.4
light roast,4.3,680.4
dark roast,4.6,1360.8
classic roast,3.8,8.8
light roast,4.6,680.4
"espresso,espresso roast,dark roast",4.6,510.3
medium roast,4.8,850.5
medium roast,4.5,734.3
cold brew coffee,4.5,907.2
"arabica,medium roast",4.6,623.7
"medium-dark roast,dark roast",4.7,340.2
"espresso,cappuccino,espresso coffee",4.8,340.2
light roast,4.6,680.4
dark roast,4.7,340.2
dark roast,4.7,510.3
dark roast,4.7,340.2
medium roast,4.7,1360.8
medium roast,4.7,340.2
"colombian,medium roast",3.5,955.4
"medium roast,classic roast",4.4,272.2
mocha,3.4,269.3
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
"french,light roast",4.5,680.4
medium roast,4.8,680.4
french,4.7,567.0
dark roast,4.6,680.4
medium roast,4.7,340.2
medium roast,4.4,680.4
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"colombian,medium-dark roast,dark roast",4.6,680.4
dark roast,4.7,510.3
"caramel,medium roast",4.7,680.4
colombian,4.7,680.4
"colombian,medium-dark roast,dark roast",4.6,680.4
"arabica,medium roast",4.5,623.7
"arabica,medium roast",4.6,340.2
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
medium roast,4.7,340.2
"caramel,medium roast",4.2,340.2
arabica,4.0,623.7
"french,french roast,dark roast",4.7,340.2
medium roast,4.5,283.5
"espresso,espresso roast,dark roast",4.6,510.3
dark roast,4.5,680.4
medium roast,4.8,850.5
medium roast,4.5,734.3
medium roast,4.5,793.8
"arabica,dark roast",4.5,453.6
medium roast,4.5,1360.8
medium roast,4.6,2041.2
medium roast,4.7,567.0
"mocha,medium roast",4.4,680.4
classic roast,3.5,8.8
medium roast,4.6,510.3
medium roast,4.5,510.3
medium roast,4.6,680.4
"espresso,dark roast",4.8,283.5
"colombian,medium roast",5.0,640.7
"espresso,dark roast",4.7,283.5
medium roast,4.9,907.2
medium roast,4.8,340.2
colombian,4.8,1048.9
"colombian,medium roast",4.7,850.5
"black silk ground coffee,dark roast",4.9,955.4
classic roast,3.8,1142.5
medium roast,4.8,1020.6
black silk ground coffee,4.7,1048.9
medium roast,4.8,311.8
"medium roast,classic roast",4.5,640.7
"colombian,medium roast",3.5,955.4
"espresso,espresso roast,dark roast",4.6,340.2
dark roast,4.7,510.3
medium roast,4.9,907.2
"medium roast,classic roast",4.6,864.7
iced coffee,4.8,1360.8
medium roast,4.6,680.4
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
classic roast,4.3,320.3
"caramel,cold brew coffee",4.5,907.2
medium roast,4.6,510.3
medium roast,4.0,340.2
light roast,4.2,680.4
"arabica,medium roast",3.1,864.7
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"instant coffee,dark roast",4.8,297.7
medium roast,4.7,850.5
"colombian,medium roast",4.9,779.6
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
"french,french roast,dark roast",4.7,793.8
"espresso,mocha,espresso coffee,latte",4.5,340.2
"french,french roast,dark roast",4.7,510.3
"arabica,medium roast",4.3,340.2
medium roast,4.6,510.3
blonde roast,4.6,510.3
medium roast,4.8,850.5
medium roast,4.5,734.3
medium roast,4.4,680.4
"espresso,espresso roast,dark roast",4.6,793.8
medium roast,4.8,340.2
medium roast,5.0,640.7
dark roast,4.8,567.0
"colombian,medium roast",4.7,1068.8
medium roast,4.9,680.4
arabica,3.2,481.9
medium roast,4.4,680.4
medium roast,4.7,1020.6
medium roast,4.6,340.2
medium roast,4.9,907.2
medium roast,4.1,320.3
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
dark roast,4.7,510.3
"french,cappuccino,instant coffee,medium roast",4.6,340.2
dark roast,4.7,453.6
caramel,4.2,340.2
"cappuccino,mocha,instant coffee,medium roast",4.4,340.2
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
medium roast,3.9,297.7
"medium-dark roast,dark roast",4.4,680.4
cappuccino,3.9,340.2
medium roast,4.7,1360.8
"colombian,medium roast",4.7,935.5
medium roast,4.4,272.2
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
