rating,reviews,price,coffee_type
3.8,5,12.98,light roast
4.6,64,4.94,light roast
4.7,740,14.92,light roast
4.7,336,9.96,light roast
4.5,1924,26.72,light roast
4.8,45,20.95,light roast
4.6,2789,14.92,light roast
4.6,2789,26.72,light roast
4.3,683,14.92,light roast
4.6,1054,14.92,light roast
4.6,136,14.92,light roast
4.5,1011,14.92,light roast
4.2,1839,13.92,light roast
4.6,1141,34.79,light roast
4.7,173,26.72,light roast
4.6,703,0.0,light roast
4.7,606,14.92,light roast
4.6,2017,21.7,light roast
4.3,345,13.92,light roast
4.7,1147,0.0,light roast
0.0,0,14.0,light roast
4.6,195,3.12,light roast
3.8,5,12.98,light roast
4.8,16,9.98,light roast
4.9,7,5.92,light roast
4.6,1606,36.98,light roast
4.5,608,32.5,light roast
0.0,0,14.0,light roast
4.1,432,40.0,light roast
4.5,227,0.0,light roast
0.0,0,14.0,light roast
0.0,0,12.98,light roast
4.7,34,12.06,light roast
4.6,564,35.56,light roast
4.3,44,9.88,light roast
4.4,5,7.69,light roast
4.4,20,6.98,light roast
0.0,0,14.0,light roast
4.7,86,19.65,light roast
4.2,13,27.38,light roast
0.0,0,29.27,light roast
0.0,0,15.97,light roast
4.6,17,10.98,light roast
5.0,29,9.63,light roast
0.0,0,14.0,light roast
4.8,43,18.39,light roast
4.6,19,6.84,light roast
5.0,1,33.95,light roast
4.7,235,4.32,light roast
4.5,327,33.97,light roast
0.0,0,14.0,light roast
0.0,0,15.95,light roast
4.3,75,31.86,light roast
0.0,0,17.12,light roast
4.6,259,7.28,light roast
4.5,69,16.98,light roast
4.8,78,9.78,light roast
4.5,2221,77.0,light roast
4.7,6,13.07,light roast
4.3,418,18.99,light roast
0.0,0,12.47,light roast
4.3,8446,0.0,light roast
4.5,2290,54.0,light roast
0.0,0,12.19,light roast
3.5,196,8.71,light roast
4.5,161,28.5,light roast
3.5,196,8.71,light roast
4.7,42,17.99,light roast
4.4,740,9.97,medium roast
3.7,10,12.98,medium roast
3.7,3,12.98,medium roast
4.7,1512,12.98,medium roast
4.7,667,7.86,medium roast
4.8,870,17.92,medium roast
4.8,495,0.0,medium roast
4.8,495,0.0,medium roast
3.5,8,13.98,medium roast
4.5,673,0.0,medium roast
4.4,166,4.98,medium roast
4.3,112,4.98,medium roast
4.8,870,17.92,medium roast
4.5,64,12.24,medium roast
4.7,527,12.98,medium roast
4.6,604,8.72,medium roast
4.7,2444,14.92,medium roast
4.4,349,4.32,medium roast
4.5,507,4.58,medium roast
4.6,1537,16.4,medium roast
4.1,869,23.12,medium roast
4.5,901,11.99,medium roast
4.3,255,15.61,medium roast
4.8,682,21.87,medium roast
4.9,15148,13.92,medium roast
4.4,123,4.64,medium roast
4.6,786,9.92,medium roast
4.4,740,9.97,medium roast
4.4,349,4.32,medium roast
4.5,1237,18.48,medium roast
4.5,507,4.58,medium roast
4.5,97,11.72,medium roast
4.5,554,4.32,medium roast
4.8,524,8.24,medium roast
4.7,360,5.72,medium roast
4.5,568,6.84,medium roast
4.8,495,7.96,medium roast
3.5,8,13.98,medium roast
4.8,395,24.5,medium roast
4.8,143,11.72,medium roast
4.4,320,4.32,medium roast
4.4,758,14.87,medium roast
4.5,1309,8.98,medium roast
4.6,196,5.72,medium roast
4.8,870,17.92,medium roast
4.5,64,12.24,medium roast
4.6,151,5.72,medium roast
4.6,532,8.98,medium roast
4.6,547,12.72,medium roast
4.5,461,14.87,medium roast
4.7,107,6.84,medium roast
4.7,2444,29.94,medium roast
4.5,96,11.72,medium roast
4.3,255,15.61,medium roast
4.8,682,21.87,medium roast
4.6,314,19.71,medium roast
4.4,740,9.97,medium roast
4.7,2738,14.92,medium roast
4.5,1295,15.72,medium roast
4.2,150,4.32,medium roast
4.7,2444,26.72,medium roast
4.8,428,21.9,medium roast
4.5,949,14.92,medium roast
4.7,269,12.95,medium roast
4.7,528,8.48,medium roast
4.4,3585,8.48,medium roast
4.8,495,7.96,medium roast
3.5,8,13.98,medium roast
4.7,271,6.84,medium roast
4.6,253,5.72,medium roast
4.3,67,4.32,medium roast
4.8,870,17.92,medium roast
4.5,64,12.24,medium roast
4.5,3335,8.48,medium roast
4.7,304,8.98,medium roast
4.7,55,7.98,medium roast
4.9,851,24.18,medium roast
4.3,1872,14.92,medium roast
4.9,442,21.12,medium roast
4.6,421,29.98,medium roast
4.7,175,35.31,medium roast
4.4,83,18.96,medium roast
4.6,130,8.99,medium roast
4.4,740,9.97,medium roast
4.3,1872,14.92,medium roast
4.9,955,31.72,medium roast
4.7,260,4.98,medium roast
4.5,1749,14.92,medium roast
4.8,487,0.0,medium roast
4.7,956,14.92,medium roast
4.6,1107,0.0,medium roast
4.8,495,0.0,medium roast
3.5,8,13.98,medium roast
4.6,2097,0.0,medium roast
4.6,1838,0.0,medium roast
4.4,740,9.97,medium roast
4.7,353,9.33,medium roast
4.6,2686,0.0,medium roast
4.8,870,17.92,medium roast
4.5,64,12.24,medium roast
4.9,51,8.48,medium roast
4.7,259,4.48,medium roast
4.4,2937,0.0,medium roast
4.8,206,6.04,medium roast
4.7,97,49.99,medium roast
4.8,599,8.6,medium roast
4.7,1782,14.87,medium roast
4.4,740,9.97,medium roast
4.6,674,14.92,medium roast
4.5,64,12.24,medium roast
4.6,419,16.92,medium roast
4.3,934,14.92,medium roast
4.7,2738,29.94,medium roast
4.6,1387,14.92,medium roast
4.8,495,0.0,medium roast
3.5,8,13.98,medium roast
4.5,2076,32.48,medium roast
4.8,870,17.92,medium roast
4.5,64,12.24,medium roast
4.6,799,15.72,medium roast
4.7,299,4.32,medium roast
4.7,2738,26.72,medium roast
4.7,348,5.27,medium roast
3.5,8,13.98,medium roast
4.4,735,18.07,medium roast
4.4,740,9.97,medium roast
4.8,184,29.14,medium roast
4.7,321,7.97,medium roast
4.4,1504,14.92,medium roast
4.6,714,14.92,medium roast
4.7,692,14.92,medium roast
4.6,346,14.92,medium roast
4.5,415,15.72,medium roast
4.6,292,4.32,medium roast
4.8,495,7.96,medium roast
3.5,8,13.98,medium roast
4.7,151,4.98,medium roast
4.2,80,4.32,medium roast
4.5,2349,15.55,medium roast
4.8,870,17.92,medium roast
4.5,64,12.24,medium roast
4.5,1168,18.48,medium roast
4.5,1768,26.72,medium roast
4.6,1558,31.98,medium roast
4.7,311,13.28,medium roast
4.4,981,14.92,medium roast
